#,Author,Rating,Date,Date (parsed),Review Text,Language,Review ID
75,Hind mohammad,5,قبل سنتين,,الجامعه صرح علمي عملاق مباني جميله وموظفين اكفاء وللامانه تعامل راقي ذهبت اليوم لمقابلة معالي رئيس الجامعه ، وبكل صراحه وصدق اقولها حتى لو لم يتم ماأتيت لأجله ، التعامل جداً راقي ، قابلنا الرئيس بكل اريحيه واستمع لحاجتي ووعدني خيرا ، من هنا اقدم شكري الجزيل لمعاليه ، والشكر للسكرتاريه والقائمين على اللقاءات معه لأخلاقهم العاليه ومعاملتهم الطيبه وبشاشتهم الودوده، وافتخر في ان اكون من العاملين في  هذا الصرح العملاق شكرا ثم شكرا ثم شكرا وحزيتم خير الجزاء,ar,ChZDSUhNMG9nS0VJQ0FnSURwbS1yYU5REAE
76,Hind mohammad,,,,"Hind mohammad
مرشد محلي · 30 مراجعة · 9 صور",ar,ChZDSUhNMG9nS0VJQ0FnSURwbS1yYU5REAE
77,خالد خالد الصعب,4,تاريخ التعديل: قبل شهر,,ماشاء الله تبارك الله مدينة جامعية,ar,Ci9DQUlRQUNvZENodHljRjlvT21oU1dHeDJTbmMyZEdaaWFFSlRORFY2T1U5NlduYxAB
78,خالد خالد الصعب,,,,"خالد خالد الصعب
مرشد محلي · 70 مراجعة · صورة واحدة",ar,Ci9DQUlRQUNvZENodHljRjlvT21oU1dHeDJTbmMyZEdaaWFFSlRORFY2T1U5NlduYxAB
79,NA,,قبل 7 أشهر,,حسبي الله كله من القبول الموحد ما انقبلت فيها الله لا يوفقكم,ar,Ci9DQUlRQUNvZENodHljRjlvT2tOUk16TktkemhrVTFkb1pEbFNTV28xUjFsaVpHYxAB
80,Elaf Saleh,,قبل 7 أشهر,,ازق جامعه متى ناويين تقبلون الي سجلوا يدوي السنه الجايه يعني ولا وش!!!,ar,Ci9DQUlRQUNvZENodHljRjlvT2xsTVNsRmxTVzlVWHpCWGNISjRiRXMyVkZSa2JYYxAB
81,Elaf Saleh,,,,"Elaf Saleh
مراجعة واحدة",ar,Ci9DQUlRQUNvZENodHljRjlvT2xsTVNsRmxTVzlVWHpCWGNISjRiRXMyVkZSa2JYYxAB
82,ميسرة الحسن,5,قبل سنة,,السلام عليكم ورحمة الله وبركاته جامعة القصيم جامعة كبيرة مضيافة ولكن بعيدة عن المدينة والموقع للوصول كان صعب جدا الشبكة العنكبوتية ممتازة جدا والمشرفين قمة في التعاون والذوق خصوصا استاذ منصور واستاذة اميرة اتمنى لكم التوفيق,ar,ChdDSUhNMG9nS0VJQ0FnSURfdk83M19BRRAB
83,ميسرة الحسن,,,,"ميسرة الحسن
5 مراجعات",ar,ChdDSUhNMG9nS0VJQ0FnSURfdk83M19BRRAB
84,الفقير إلى عفو الله جل وعلا,5,تاريخ التعديل: قبل سنة,,ليته يكون لها فرع آخر في الزلفي أو على الأقل في المبنى القديم لتكون أقرب للقادمين من الزلفي أو عنيزة من المعلمين أو الطلاب الذين يترددون إلى الجامعة . وفقكم الله لما يحبه ويرضاه. اللهم اغفر لي وللمسلمين والمسلمات. أستغفر الله الذي لا إله إلا هو الحي القيوم وأتوب إليه,ar,ChdDSUhNMG9nS0VJQ0FnSUNsdXRXdC1nRRAB
85,الفقير إلى عفو الله جل وعلا,,,,"الفقير إلى عفو الله جل وعلا
مرشد محلي · 48 مراجعة · 21 صورة",ar,ChdDSUhNMG9nS0VJQ0FnSUNsdXRXdC1nRRAB
86,reem reem,,قبل سنة,,ليت يزرعون اشجار ظل بالمواقف  عن الحر والشمس الجو حار ودوام المسائي امتحاناتهم الساعه وحده او ثنتين الظهر بعز الحر والا كان ياخرون الامتحانات لبعد المغرب  الاشجار بس بالمدخل حق الزينه بس ..فيه كم مظله والطريق لهن مسكر اسمنا حطينا مظله,ar,ChZDSUhNMG9nS0VJQ0FnSURUMWI3WVBREAE
87,reem reem,,,,"reem reem
مرشد محلي · 41 مراجعة",ar,ChZDSUhNMG9nS0VJQ0FnSURUMWI3WVBREAE
88,mj222 abd,2,قبل 3 سنوات,2023-04-07,"فوضى مافيه أي تنظيم مرتب للحفلات  ومع إننا في رؤية ٢٠٣٠ إلا إن الأمهات من كبيرات السن لايوجد نقل خاص بهن من المواقف إلى بوابة المدخل الرئيسي ومسافة المشي متعبه جدا جدا وصعبه عليهن لحضور الحفلات .
مع إن الحمدلله قادتنا ماقصروا علينا بشيء لكن للأسف التقصير من المشرفين والمسوؤلين .",ar,ChdDSUhNMG9nS0VJQ0FnSUQyeDZHU3pnRRAB
89,mj222 abd,,,,"mj222 abd
مرشد محلي · 70 مراجعة · صورتان (2)",ar,ChdDSUhNMG9nS0VJQ0FnSUQyeDZHU3pnRRAB
90,Tala alserehi,5,قبل 10 أشهر,,ليال بقسم القانون تراها تعبانه و كتكوته لا احد يسوي لها شي ولا احد يضغط عليها و لو جات اشتكت لي عن اي دكتوره او دكتور راح افجر بام الجامعه والطالبات لو اي وحده سوت لها اي شي والله ما راح يصير لكم خير,ar,ChdDSUhNMG9nS0VMR2F1dnpmX3MzWXB3RRAB
91,Tala alserehi,,,,"Tala alserehi
4 مراجعات",ar,ChdDSUhNMG9nS0VMR2F1dnpmX3MzWXB3RRAB
92,ahmed habsa,5,قبل سنتين,,"بهو جامعة القصيم ماشاء الله مكان واسع وجميل ومن افضل الاماكن التي عملت بها
مكتبه جامعه القصيم",ar,ChdDSUhNMG9nS0VJQ0FnSUNsNWF2VXlnRRAB
93,ahmed habsa,,,,"ahmed habsa
مرشد محلي · 67 مراجعة · 27 صورة",ar,ChdDSUhNMG9nS0VJQ0FnSUNsNWF2VXlnRRAB
94,Hime Shh,,قبل 7 أشهر,,يارب اتخرج منها قبل ما ان/تحر بسببها,ar,Ci9DQUlRQUNvZENodHljRjlvT2xGVE5GRkViRWh6Y0U1S1EyWlVSVkpGWWkxRk1XYxAB
95,Hime Shh,,,,"Hime Shh
مراجعة واحدة",ar,Ci9DQUlRQUNvZENodHljRjlvT2xGVE5GRkViRWh6Y0U1S1EyWlVSVkpGWWkxRk1XYxAB
96,نواف نواف,5,قبل سنة,,يعني استغرب من بعض العقليات لما ينتقد اتفه الأسباب ويبي كلشي يتصلح. انا والله ماعندي مشكله انتقد لاكن عقلك بكبره مايسوى ريال تجي تنتقد وكانك عالم ماحد درى عنك غير اميمتك. والنقطه الثانيه الكهرب تراه مو حلا ليه تفتحون كلشي خاصتًا اللمبات فاتحين لمبات برى الجامعه؟ يعني اقل شي احترمو الشمس .,ar,ChZDSUhNMG9nS0VJQ0FnSUR2OU9pUFJREAE
97,نواف نواف,,,,"نواف نواف
مراجعتان (2)",ar,ChZDSUhNMG9nS0VJQ0FnSUR2OU9pUFJREAE
98,Nor Hama,5,قبل 5 سنوات,2021-04-07,جامعة حديثة فيها تخصصات مختلفة و تخدم منطقة القصيم,ar,ChdDSUhNMG9nS0VJQ0FnSUNpM2FMU3NRRRAB
99,Nor Hama,,,,"Nor Hama
مرشد محلي · 180 مراجعة · 707 صور",ar,ChdDSUhNMG9nS0VJQ0FnSUNpM2FMU3NRRRAB
100,fouz,,قبل 6 أشهر,,الشبكه سيئه مره ماتخدم الطالب,ar,Ci9DQUlRQUNvZENodHljRjlvT2tOaWMyOW1XSEJyY1VjNWJFbDJiRUZ2VFVKNlFWRRAB
101,Ryo zoldek,,قبل سنة,,اقول مددوا الاجازه وأخروا موعد الترم الثاني انا طيار قيد التدريب اذا ما تبون يصير لكم زي برج التجارة احسن لكم تسمعون كلامي 😎💪🏻 …,ar,ChZDSUhNMG9nS0VJQ0FnSURuaTgyUFFREAE
102,Ryo zoldek,,,,"Ryo zoldek
مراجعة واحدة",ar,ChZDSUhNMG9nS0VJQ0FnSURuaTgyUFFREAE
103,Aram,,قبل سنة,,"نجمة وحده وكثيره بعد! اجل معطين اختي ج+ و ب+ ليه؟؟؟
اتمنى تعيدون مراجعة ورقتها، وحتى لو ورقتها هه مب مره عادي شخصيتها تستاهل أ+
اذا عدلتوا درجاتها عدّلت التقييم👍🏼 …",ar,ChZDSUhNMG9nS0VJQ0FnSUR6MU5QbmNnEAE
104,Aram,,,,"Aram
مرشد محلي · 14 مراجعة · 21 صورة",ar,ChZDSUhNMG9nS0VJQ0FnSUR6MU5QbmNnEAE
105,خالد الشعيبي,5,قبل سنة,,جميل جدا جدا جدا من اطلق وافضل الجامعات عندي انصحكم ماتتعدونها ، لكن يلزم الزي الرسمي قبل الحضور والله يوفقكم جميعا,ar,ChdDSUhNMG9nS0VJQ0FnSUNIbG9qc29BRRAB
106,خالد الشعيبي,,,,"خالد الشعيبي
مرشد محلي · 306 مراجعات · 51 صورة",ar,ChdDSUhNMG9nS0VJQ0FnSUNIbG9qc29BRRAB
107,Ibrahim,5,قبل 5 سنوات,2021-04-07,"تعتبر من افضل واقوي الجامعات علي مستوي المملكه ،
والان الجامعه اصبحت مستقله حيث المساحه والمبني السكني والبنك ، يستطيع الطالب استلام حوالته الماليه وتحويل المال .
وبالنسبه للسكن شامل المدرسين والدكاتره والمهندسين والطلبه ذكور واناث ، وافضل شئ المواقف حيث يستطيع الشخص ان ياخذ مساحته الكافيه من الراحه وتعدد الاستراحات والمساجد الا انها تفتقر لوجود التموينات ومحطة البنزين ..",ar,ChdDSUhNMG9nS0VJQ0FnSUNpdGNxUXN3RRAB
108,Ibrahim,,,,"Ibrahim
مرشد محلي · 61 مراجعة · صورتان (2)",ar,ChdDSUhNMG9nS0VJQ0FnSUNpdGNxUXN3RRAB
109,A Z,2,قبل سنة,,حبيبي يدرس هون ارجو الاهتمام فيه وعدم ازعاجو والضغط عليه والتأكد من تنجيحه بجميع المواد،ممنوع تزعلون نوثتي ان لم يتم تطبيق ملاحظتي سأضع لكم نجمه واحده فقط,ar,ChdDSUhNMG9nS0VJQ0FnSURfM2RyQnlRRRAB
110,L.A,4,قبل سنتين,,اللهم اجعلهم صرح علم ومعرفة تنفع البلاد والعباد من اهل الوطن وخارجه من اصحاب المنح..الجامعة تضم عدد من الاقسام المتنوعة وتخرج سنويا الالاف من البنين والبنات نفعهم الله بما تعلموا وجعلهم ذخرا لامتهم,ar,ChZDSUhNMG9nS0VJQ0FnSUNKMG9iSUlBEAE
111,L.A,,,,"L.A
مرشد محلي · 311 مراجعة · 545 صورة",ar,ChZDSUhNMG9nS0VJQ0FnSUNKMG9iSUlBEAE
112,Zzzz Xxxx,4,قبل شهر,,شي جميل جدا,ar,Ci9DQUlRQUNvZENodHljRjlvT2sxTU5VaG1MV3gwVWw4M056QTNhakF5VjBrNE1FRRAB
113,Zzzz Xxxx,,,,"Zzzz Xxxx
مراجعة واحدة",ar,Ci9DQUlRQUNvZENodHljRjlvT2sxTU5VaG1MV3gwVWw4M056QTNhakF5VjBrNE1FRRAB
114,Noura Dh,,قبل 3 سنوات,2023-04-07,"ابي اعطيكم رأيي بما اني درست ٥ سنوات
الجامعة سيئة جداً جداً تحتاج تطورات من ناحية التخصصات الي تواكب الرؤيه وسوق العمل خاصة كليات البنات تحتاج تطوير من ناحية مباني واخلاق موظفات الأمن والدكتورات ومراقبتهم وتحتاج ادارة صارمه ، درست فيها ما حسيت اني طالبه جامعيه ولا اعيش الحياة الجامعيه مثل الطلاب بالجامعات الثانيه
..
اهم نقطع عندكم الكفتيريا والله يالاكل ماينوكل الله يديم النعمه غير الاسعار الي مطيرينها على وش بس؟
انا تركت الجامعه في اخر ترم دراسي ورحت لجامعه ثانيه ماينصبر عليها والطالبات الي مانقبلو فيها احمدو ربكم",ar,ChZDSUhNMG9nS0VJQ0FnSUQtcXF2MWVBEAE
115,Noura Dh,,,,"Noura Dh
مراجعة واحدة",ar,ChZDSUhNMG9nS0VJQ0FnSUQtcXF2MWVBEAE
116,abdulrahman saud,5,قبل 7 سنوات,2019-04-08,"جامعة القصيم..
واحدة من أكبر الجامعات بعدد الكليات وعدد الطلاب وأعضاء هيئة التدريس والموظفين..

فيها ثمان وثلاثين كلية..
فيها ثمانين ألف طالب وطالبة..
فيها أربعة آلاف وخمسمائة عضو هيئة تدريس ومن في حكمهم سعوديين وغير سعوديين
فيها أكثر من ثلاث آلاف وستمائة موظف إداري...

جامعة متميزة أكاديميا خاصة في التخصصات الطبية والهندسية والعلمية يشهد لذلك تميز خريجيها في سوق العمل

أحبك يا جامعة القصيم❤",ar,ChZDSUhNMG9nS0VJQ0FnSUR3MnI3Q2J3EAE
117,abdulrahman saud,,,,"abdulrahman saud
مرشد محلي · 536 مراجعة · 39 صورة",ar,ChZDSUhNMG9nS0VJQ0FnSUR3MnI3Q2J3EAE
118,Al_Harkan bookshop,2,قبل 5 سنوات,2021-04-07,"انا اول مره ازور هذا الصرح الجميل ولاكن لي تنبيه بسيط ارجو تقبله من باب التطوير والمحبه لمن يعملون بالجامعه

لا يوجد لوحات إرشادية تبين الاتجاهات لكل كلية ولا يوجد لوحات إرشادية تبين اسم مباني الكليات ، رجال الأمن لا يعرفون مواقع مباني الكليات وهم يعملون  في حرم الجامعة يلزم تأمين مخططات إرشادية صغيره لرجال الامن ورواد الجامعة لسهولة الوصول للمبنى المطلوب
تحياتي",ar,ChZDSUhNMG9nS0VJQ0FnSUNpa055QklBEAE
119,Al_Harkan bookshop,,,,"Al_Harkan bookshop
مرشد محلي · 48 مراجعة · 9 صور",ar,ChZDSUhNMG9nS0VJQ0FnSUNpa055QklBEAE
120,Mr.mishary S,2,قبل 4 سنوات,2022-04-07,بخصوص الي مستلم البطاقة وضيعه انا طالب من ٢٠١٩ ولا استلمت البطاقة للحين 😃😁 وبتلت اراكض لكن اكتشفت انه مامنه فايدة بس الرقم اروح اي مكان عليه خصم واقوله طالب واعطيه الرقم ولا اوريه صفحتي ب الموقع بااقعد اراكض ورا الجامعة ليه !! عندها إميلي ورقم جوالي طز بهم …,ar,ChdDSUhNMG9nS0VJQ0FnSUNHcDcyZ3BnRRAB
121,Mr.mishary S,,,,"Mr.mishary S
10 مراجعات",ar,ChdDSUhNMG9nS0VJQ0FnSUNHcDcyZ3BnRRAB
122,Sh,5,قبل سنتين,,السلام عليكم. صاحبتي تدرس في هذا الفرع اتمنى وضع في جميع المواد +A واتمنى ان يكون اختبار الخميس مادة جافا اربع ساعات بدلا من ساعتين ولا سوف أضع نجمه واحده فقط، وقد اعذر من انذر.,ar,ChdDSUhNMG9nS0VJQ0FnSUNWa016VmtnRRAB
123,ibrahim toweel,5,تاريخ التعديل: قبل سنة,,"جامعة عريقة تكونت من افضل الفروع بجامعة الامام و جامعة الملك سعود و حصلت على الاعتماد محليا ولديها تسع كليات معتمدة دوليا.
لديها كوكبة من الاساتذة الكبار في مجالات علمية مختلفة .. و تستحق  الأفضل..
لديها مدينة جامعية ضخمة ولديها فروع تخدم النطاق الحضري في منطقة القصيم",ar,ChZDSUhNMG9nS0VJQ0FnSUMwaVpTVEJREAE
124,ibrahim toweel,,,,"ibrahim toweel
مرشد محلي · 1,242 مراجعة · 510 صور",ar,ChZDSUhNMG9nS0VJQ0FnSUMwaVpTVEJREAE
125,Tagraahd u,,قبل 3 سنوات,2023-04-07,كل شي تمام الجامعه حلوه ونظيفه ب نسبه للكفي والفطور والقهوه اسعارهم جدا غاليه والكوب صغير حرام ب 17 وكيكه صغيره ب 18 جدا غالي والطالب مامعه مال يكفي عشان يشتري ويفطر ومحتاج فطور وطاقه بس السعر مكلف اتمنى يخفضون السعر شوي لمصلحه الطلاب,ar,ChdDSUhNMG9nS0VJQ0FnSURCLXFYWWtRRRAB
126,عبدالرزاق عبيد,,قبل سنتين,,"ادعولي الله يوفقني وادخل القسم المطلوب ويرزقني الله من واسع فضله
إن شاء الله ادخلها وادخل اطلق قسم مطلوب ادعولي 💔
1445/8/27
2024/3/8
الجمعة
6:03 الصبح
الخشيبي غرفه جدتي
Snab :FHN8860
Tik tok : ZOB3Y",ar,ChZDSUhNMG9nS0VJQ0FnSUM5OWZqY1BnEAE
127,عبدالرزاق عبيد,,,,"عبدالرزاق عبيد
3 مراجعات",ar,ChZDSUhNMG9nS0VJQ0FnSUM5OWZqY1BnEAE
128,baru,,قبل سنتين,,"يجيبون لك أزفت الدكاترة مادري من وين يجيبون اشكالهم موقع الجامعه زفت ومافي اي تنازلات للخريجين
النجمه هذي للقلة القليلة من الدكاترة المحترمين
أنصحكم بالهروب، السعودية مليئة بالجامعات الجيدة وش الله حادك على ذي !!!",ar,ChdDSUhNMG9nS0VJQ0FnSUNOdHRIcHB3RRAB
129,Somani Aj,5,تاريخ التعديل: قبل سنتين,,"صرح كبير، يضم كليات متنوعة ، ونخبة من الأساتذة في مختلف التخصصات.
تحية عميقة لكلية الإدارة والأعمال، خاصة قسم المحاسبة..
كانت زيارتي الأخيرة في ١٤٣٣، لحظة استلامي لوثيقة التخرج 🎓 سقى الله تلك الأيام.. 💔 …",ar,ChZDSUhNMG9nS0VJQ0FnSUR5cHR1Z0Z3EAE
130,Somani Aj,,,,"Somani Aj
مرشد محلي · 48 مراجعة",ar,ChZDSUhNMG9nS0VJQ0FnSUR5cHR1Z0Z3EAE
131,Jana Alsuwayni,,قبل سنة,,الحين ليشش ماطلعت لي رغبات مع انه موزونتيييي زينهه؟؟؟والله شي يقهر مع انه الجامعه زققق محد يبيها وهم رافعين نسب القبول وش دعوى!!!حسبي الله ونعم الوكيل فيهم,ar,ChdDSUhNMG9nS0VJQ0FnSURyanVydHdRRRAB
132,Jana Alsuwayni,,,,"Jana Alsuwayni
14 مراجعة",ar,ChdDSUhNMG9nS0VJQ0FnSURyanVydHdRRRAB
133,Heba Pary,,قبل سنة,,اتمنى عدم جعل الطالبات يداومون اثناء الحر، وماينفع ابدًا مايكون فيه رقابه على الآلات لبيع المشروبات تسحب فلوس بلا عودة!!,ar,ChZDSUhNMG9nS0VJQ0FnSURINWFQRlhBEAE
134,Heba Pary,,,,"Heba Pary
مراجعة واحدة",ar,ChZDSUhNMG9nS0VJQ0FnSURINWFQRlhBEAE
135,Rnoo,5,تاريخ التعديل: قبل سنتين,,"الصراحه جامعة روعه
يكفي اني كلمتهم اتصال على ٣ ارقام وكلها ردوا وافادوني جدا 💛🤍
احنا في الرياض ندق ع جامعاتنا لا حياه لمن تنادي تحويلات ولا احد يرد عليك
واذا ردوا ما يدرون عن شي
اتمنى انقبل دكتوارة فيها 🙏🙏",ar,ChdDSUhNMG9nS0VJQ0FnSUNocllpMjFBRRAB
136,Rnoo,,,,"Rnoo
مرشد محلي · 382 مراجعة · 2,109 صور",ar,ChdDSUhNMG9nS0VJQ0FnSUNocllpMjFBRRAB
137,Azooz,2,قبل 11 شهرًا,2025-05-11,ترى حبيبتي عندكم انتبهو لها ولا تتعبونها ولا تظغطون عليها بالاختبارات,ar,ChdDSUhNMG9nS0VJQ0FnTUNZLVB5czFBRRAB
138,ALMOHAWIS عبدالرحمن,5,تاريخ التعديل: قبل 10 أشهر,,"جامعة رائعه في بنيتها التحتيه و رسالتها الساميه و أهدافها الراقيه و مسؤووليتها مناراةً للعلم و المخرجات المتكامله منها لخدمة الوطن و تمثل مصدراً وطنياً لتحقيق رؤية 2030السعودية بإذن الله وهي تمثل ما أقوله عنها دوماً ""الجامعة اللامعه"" 💙 …",ar,ChZDSUhNMG9nS0VJQ0FnSUQwM09MMlNnEAE
139,ALMOHAWIS عبدالرحمن,,,,"ALMOHAWIS عبدالرحمن
مرشد محلي · 121 مراجعة · 374 صورة",ar,ChZDSUhNMG9nS0VJQ0FnSUQwM09MMlNnEAE
140,بدوّي حتى النخاع,5,قبل 4 سنوات,2022-04-07,"هي ليست جامعة فقط 👨‍🎓 👩‍🎓
هي مدينة تعليمية كاملة الخدمات
ذات بنية تحتية فائقة الجودة
سواءً الطرق والارصفة التي تتزين بالاشجار والعشب
وصولاً الى فخامة المباني والكليات المتعددة
والسكن الجامعي لإعضاء التدريس والطلاب ووووو..
-
هي بأختصار صرح تعليمي شامخ
يحق لنا أن نفخر ونباهي به الجميع🧑🏻‍🦯",ar,ChZDSUhNMG9nS0VJQ0FnSUNtb09MZWRBEAE
141,بدوّي حتى النخاع,,,,"بدوّي حتى النخاع
مرشد محلي · 21 مراجعة · 57 صورة",ar,ChZDSUhNMG9nS0VJQ0FnSUNtb09MZWRBEAE
142,نل نغ,5,قبل 7 أشهر,,صرح تعليمي شامخ يخدم منطقة القصيم,ar,Ci9DQUlRQUNvZENodHljRjlvT21WTVFuRmFZbE14UkZoRE1XdFlWMlp3YmxWak5GRRAB
143,السيف الصقيل,5,قبل 4 سنوات,2022-04-07,جامعه القصيم احدى الجامعات العريقه فهي فيما مضى كانت تابعة لجامعه الملك سعود العملاقه وهي بعد انفصال الجامعات اصبحت القصيم بإسم المنطقه التي هي بها جامعه القصيم منافسه وبقوه وعمل دؤوب جدا جدا لتكون من افضل الجامعات في المملكه العربيه السعوديه وقد حصلت على مرتبة متقدمة بترتيب  307. على مستوى جامعات العالم في العام 2016م,ar,ChZDSUhNMG9nS0VJQ0FnSUNxeGZmYVNREAE
144,السيف الصقيل,,,,"السيف الصقيل
مرشد محلي · 53 مراجعة · 38 صورة",ar,ChZDSUhNMG9nS0VJQ0FnSUNxeGZmYVNREAE
145,Abdulaziz,3,قبل سنتين,,جامعة جميله ولكن البهو لونه بيج يعطيك شعور ان الدنيا عجاج 🥲 ، ليتكم تخلونه ابيض بيكون اجمل بمراحل ، واذا على التنظيف خلوا طلاب الهندسه يسوون طيارات درون تمسح القزاز والجدران 👍🏻 …,ar,ChZDSUhNMG9nS0VJQ0FnSUMxc0luRVl3EAE
146,Abdulaziz,,,,"Abdulaziz
مرشد محلي · 12 مراجعة · صورتان (2)",ar,ChZDSUhNMG9nS0VJQ0FnSUMxc0luRVl3EAE
147,Wgd Alaqeel,,قبل سنتين,,بالله احد يتبرع لنا بكليه الاداره بنات ويحط كوفي مو معقول فيه ٢ كافتريا بنفس المبنى,ar,ChZDSUhNMG9nS0VJQ0FnSUN0LUxma1VnEAE
148,Wgd Alaqeel,,,,"Wgd Alaqeel
4 مراجعات · 8 صور",ar,ChZDSUhNMG9nS0VJQ0FnSUN0LUxma1VnEAE
149,أنوار العضيله,,قبل 11 شهرًا,2025-05-11,"السلام عليكم
اتمنى منكم التخفيف والانتباه على كدوي وعدم الضغط عليهاا بيومها وبكون شاكره جدا لكم",ar,ChZDSUhNMG9nS0VJQ0FnTUNvNExlSkZREAE
150,أنوار العضيله,,,,"أنوار العضيله
مراجعة واحدة",ar,ChZDSUhNMG9nS0VJQ0FnTUNvNExlSkZREAE
151,Turky,2,قبل 3 سنوات,2023-04-07,غيروا كراسي كلية السنة التحضيرية الله يرحم والديكم. الشنطة ماتدري وين تحطه والكرسي كل ماتحركت يطلع اصوات قويه ومزعجه جداً والي تحط عليه كتابك صغيره وكثير تكون مايله وخربانه يعني تحط الكتاب يطيح!,ar,ChdDSUhNMG9nS0VJQ0FnSUMyaHBTTDdnRRAB
152,Turky,,,,"Turky
مرشد محلي · 23 مراجعة · صورة واحدة",ar,ChdDSUhNMG9nS0VJQ0FnSUMyaHBTTDdnRRAB
153,Suliman Alsalehi,5,قبل سنة,,جامعة ذات مكانه عريقه اذا تكونت من كليات جامعة الامام محمد بن سعود وكليات جامعة الملك سعود التى انشاة في القصيم ... وقد خرجت اجيال من العلماء وما زالت تضيف كواكب من العلماء ...,ar,ChdDSUhNMG9nS0VJQ0FnSUNUaVpleGdBRRAB
154,Suliman Alsalehi,,,,"Suliman Alsalehi
مرشد محلي · 491 مراجعة · 2,470 صورة",ar,ChdDSUhNMG9nS0VJQ0FnSUNUaVpleGdBRRAB
155,فادي / Fadi,5,قبل 8 أشهر,,سلام عليكم حبيت استفسر هل فيه سكن للطلاب الي من برا القصيم وكم رسوم السكن ؟,ar,Ci9DQUlRQUNvZENodHljRjlvT21KRmJtVkhjSFEwWlZKbFZtdFNTbEpOTnpsNFdYYxAB
156,فادي / Fadi,,,,"فادي / Fadi
مراجعتان (2)",ar,Ci9DQUlRQUNvZENodHljRjlvT21KRmJtVkhjSFEwWlZKbFZtdFNTbEpOTnpsNFdYYxAB
157,عبدالله يحي منصر ناجي,5,قبل 4 أشهر,,افضل جامعة في القصيم,ar,Ci9DQUlRQUNvZENodHljRjlvT210d2JsVkVaVXhZWnpWa05sOU5SVzUwWkdKTFJHYxAB
